expression,meaning,sentence_translation
ぶどう,grapes,"I like grapes."
予習,preparation (for lessons),"Let's prepare for tomorrow's lessons."
予約,reservation,"I made a reservation at the restaurant."
約束,promise,"I keep my promises."
変わる,to change,"The light changed to green."
めったに,rarely,"She rarely gets angry."
変,strange,"I hear a strange sound."
変化,change,"This year was full of changes."
強化,strengthening,"The country is strengthening its national language education."
クリスマス,Christmas,"We eat cake at Christmas."
文化,culture,"I am studying the culture of this country."
増える,to increase,"The population of this town has increased."
増やす,to increase (something),"That town is increasing its greenery."
減る,to decrease,"I lost quite a bit of weight."
ネクタイ,necktie,"I gave my dad a necktie for Father's Day."
減らす,to reduce,"I have been eating less recently."
乗り物,vehicle,"Bicycles are convenient vehicles."
降りる,to get off,"I will get off at the next station."
降ろす,to unload,"He unloaded the luggage from the car."
バイオリン,violin,"She is learning the violin."
降る,to fall (rain/snow),"Heavy rain is falling."
着く,to arrive,"I will arrive in Osaka at 8 p.m."
着物,kimono,"She looks good in a kimono."
下着,underwear,"I wash my underwear by hand."
パスポート,passport,"I can't find my passport."
上着,jacket,"I took off my jacket because it was hot."
着せる,to dress (someone),"I dressed my daughter in a cute dress."
脱ぐ,to take off,"Please take off your shoes."
立場,position / standpoint,"She doesn't understand her position."
バッグ,bag,"I have a black bag."
目立つ,to stand out,"Her large hat really stands out."
立てる,to stand (something) up,"He stood a candle on the cake."
役に立つ,to be useful,"I want to be helpful to others."
出席,attendance,"I will attend the meeting in the afternoon."
ゴム,rubber,"The rubber band has stretched out."
席,seat,"Is this seat available?"
欠席,absence,"I will be absent today due to a cold."
次男,second son,"My second son is currently overseas."
次女,second daughter,"Our second daughter will start junior high school this spring."
ギター,guitar,"She is good at playing the guitar."
運転,driving,"My father drives safely."
運転手,driver,"He is a taxi driver."
転ぶ,to fall down,"Grandma fell in the bathroom."
セーター,sweater,"This sweater is made of wool."
移す,to move (something),"I moved the desk near the window."
動き,movement,"First, watch the other person's movement."
運動,exercise,"He should exercise more."
活動,activity,"He participated in local activities."
動物,animal,"I love animals."
動かす,to move (something),"I moved the furniture in the room."
不動産屋,real estate agency,"My father works at a real estate agency."
カーテン,curtain,"I opened the curtains in the morning."
早口,fast talking,"She speaks quickly."
速さ,speed,"What is the speed of the bullet train?"
速達,express delivery,"I would like to send this by express delivery."
シャツ,shirt,"This shirt needs ironing."
遅れる,to be late,"She was late for school this morning."
開始,start / commencement,"The sports day starts at 9 a.m."
始めに,at the beginning,"Soup will be served first."
現在,current / present,"The current temperature is 30 degrees."
ナイフ,knife,"I cut my hand with a knife."
実現,realization,"Effort is necessary to realize dreams."
実施,implementation,"A special campaign is currently underway."
事実,fact,"Is that all true?"
実行,execution / implementation,"He executed the plan."
バイク,motorcycle,"My brother loves motorcycles."
実験,experiment,"We conducted an experiment in science class."
通過,passing through,"The next station will be skipped."
過ぎる,to pass (time),"Time passes quickly."
昼過ぎ,afternoon,"He will come after lunch."
過去,past,"That is a story from the past."
開発,development,"Residents are against the dam development."
発生,occurrence,"An accident occurred at the intersection."
発言,remark / statement,"Everyone spoke at the meeting."
オレンジ,orange,"I like oranges."
発見,discovery,"A new star was discovered."
出発,departure,"We depart in 15 minutes."
発車,departure (vehicle),"The bus is leaving."
発表,announcement,"The list of those who passed was announced."
きつい,strict / harsh,"She has a harsh personality, doesn't she?"
表現,expression,"He expressed his feelings through singing."
代表,representative,"He is the class representative."
表,surface / chart,"Please look at this chart."
さっき,a little while ago,"Let's continue the story from earlier."
手紙,letter,"I received a letter from a friend."
絵,picture / painting,"This is a painting by a famous artist."
雑誌,magazine,"This magazine sells well."
音,sound,"The sound of insects in autumn is soothing."
テキスト,text,"Please read the text."
音楽,music,"I like listening to music."
薬,medicine,"Be sure to take this medicine."
歌,song,"I didn't know that song."
ビニール,vinyl,"Please put the trash in that plastic bag."
歌手,singer,"That singer is bad at singing."
欲しがる,to want,"The child wants juice."
計画,plan,"He planned a solo trip."
映画,movie,"He often watches movies."
りんご,apple,"Please give me an apple."
面白い,interesting,"This book wasn't interesting at all."
写る,to be photographed,"This camera takes good photos."
写す,to copy,"He copied his friend's answers."
写真,photo,"Photos make great memories."
アルバム,album,"I saw his album."
真っ赤,bright red,"His face was bright red."
真面目,serious,"He is a serious person."
真ん中,center,"Someone is standing in the middle of the road."
真っ白,pure white,"Outside was covered in white snow."
スカート,skirt,"She doesn't wear skirts often."
真っ暗,pitch dark,"It's pitch dark outside."
真っ黒,pitch black,"My hands turned black with ink."
真っ青,deep blue,"The sky is deep blue."
色々,various,"He knows about various things."
ペン,pen,"Please lend me a pen."
人形,doll,"She owns a lot of dolls."
形,shape,"That chair has an unusual shape."
大型,large,"I bought a large television."
種類,type / kind,"There are many types of roses."
直す,to fix,"I fixed it."
真っ直ぐ,straight,"Go straight along this road."
直接,directly,"Ask him directly."
角,corner,"Turn left at the next corner."
きっと,surely,"It will surely rain tomorrow."
三角,triangle,"I cut the paper into a triangle."
四角,square,"Cut the paper into a square."
四角い,square-shaped,"Let's buy this square table."
四つ角,crossroads,"Turn left at that crossroads."
メニュー,menu,"Please give me the menu."
曲,tune / song,"I love this song."
曲げる,to bend,"Bend your knees, please."
曲がり角,turning point / corner,"The post office is at that corner."
同様,same as,"We consider him like family."
アイスクリーム,ice cream,"My younger brother loves ice cream."
間違い,mistake,"There is a mistake in this sentence."
間違える,to make a mistake,"I made a mistake with the phone number."
間違う,to be wrong,"You are wrong."
似ている,to resemble,"I resemble my mother."
以上,more than,"The flight was delayed by more than an hour."
旅行,travel / trip,"She loves traveling."
大使館,embassy,"He works at the embassy."
旅館,Japanese inn,"In Kyoto, I stayed at a ryokan."
ジュース,juice,"This juice is too sweet."
映画館,cinema,"I went to the nearby cinema with him."
宿題,homework,"I did my homework with a friend."
泊める,to let someone stay,"I let my friend stay over."
遊び,play / game,"We play various games during New Year."
ゼロ,zero,"Today there were zero traffic accidents."
洋服,clothes,"I'm going to buy clothes today."
教室,classroom,"My classroom is on the third floor."
図書室,library room,"I studied in the library room."
窓,window,"Please open the window."
ピンク,pink,"My daughter is wearing a pink dress."
親しい,close (relationship),"On the weekend, I invited a close friend home."
親切,kind,"I will never forget your kindness."
不親切,unkind,"That shop assistant was unkind."
家族,family,"We are a family of five."
グラス,glass,"This is a beautiful glass, isn't it?"
万歳,cheers / hurrah,"We won, hurrah!"
二十歳,twenty years old,"My younger sister will turn twenty next year."
姉さん,older sister,"Sorry, sis."
兄さん,older brother,"Congrats, brother."
ダンス,dance,"She loves dancing."
兄弟,siblings,"He has three siblings."
業者,contractor,"We hired movers for the relocation."
若者,young people,"Young people these days don't read books."
彼ら,they / them,"They are basketball players."
結合,combination / merge,"I combined the files into one."
結果,result,"I want to know the results of the game quickly."
果物,fruit,"Let's eat fruit for dessert."
課題,assignment,"What is the summer vacation assignment?"
サッカー,soccer,"He is a soccer player."
課,section / lesson,"We have a section meeting starting now."
効果,effect,"This medicine has a protective effect on the stomach."
自動車,automobile,"He got a job at a car company."
自然,nature,"It's natural for parents to protect their children."
スープ,soup,"My mother is making corn soup."
自習,self-study,"There is a self-study period tomorrow."
理由,reason,"Please tell me the reason for being late."
自由,freedom,"Today, I have a lot of free time."
バナナ,banana,"I eat a banana every morning."
信じる,to believe,"He believes in Christ."
信号,traffic signal,"The traffic light turned green."
頼む,to request / to order,"I ordered a hamburger."
市民,citizen,"The safety of citizens is important."
住民,resident,"Residents of the area gathered to discuss."
主人,husband / master,"My husband is out now."
議員,member of parliament,"He is a member of parliament."
会議,meeting,"There is an important meeting this afternoon."
パトカー,patrol car,"There is a patrol car over there."
対する,to face / to deal with,"I couldn't find an answer to that question."
対立,opposition / conflict,"The two companies are in conflict."
反対,opposite / against,"I am against it."
答え,answer,"He doesn't know the answer to the question."
ハンバーガー,burger,"Today's lunch was a hamburger."
特に,especially / particularly,"I don't have any particular questions."
特急,express train,"It takes three hours to Tokyo by express train."
特別,special,"You are a special person to me."
別々,separate,"Let's pay separately."
エスカレーター,escalator,"Let's take the escalator to the third floor."
別れる,to separate / to part,"I parted with my friend at the station."
一般,general / ordinary,"General customers, please use these seats."
目的,purpose,"I don't know the purpose of his visit."
普通,ordinary / normal,"She is an ordinary girl."
タオル,towel,"I wiped my face with a towel."
並ぶ,to line up,"Please line up here."
並べる,to arrange,"I arranged the dishes on the table."
平和,peace,"This country is peaceful."
高等学校,high school,"My younger brother graduated from high school."
パチンコ,pachinko,"He plays pachinko every day."
病院,hospital,"Where is the hospital?"
入院,hospitalization,"My mother was hospitalized yesterday."
大学院,graduate school,"He advanced to graduate school."
医者,doctor,"I consulted with a doctor."
みかん,mandarin orange,"Please give me one mandarin orange."
歯医者,dentist,"I don't like going to the dentist."
歯,tooth,"My teeth are strong."
歯ブラシ,toothbrush,"I need a new toothbrush."
ケーキ,cake,"I ate a cake on my birthday."
科学,science,"Science is constantly advancing."
教科書,textbook,"I forgot my Japanese textbook."
理科,science,"I'm good at science."
亡くなる,to pass away,"The day before yesterday, an old friend passed away."
コップ,cup,"I drink a cup of water every morning."
疲れる,to get tired,"I'm so tired that I feel dizzy."
禁煙,non-smoking / quit smoking,"He is quitting smoking now."
酔っ払い,drunk person,"He's just a drunk person."
ナイロン,nylon,"This jacket is made of nylon."
酔っ払う,to get drunk,"I got drunk last night."
危ない,dangerous,"That road is dangerous because of the many cars."
危険,danger / risky,"That area is dangerous right now."
存在,existence,"Do you think aliens exist?"
スーツ,suit,"That suit isn't that expensive."
注目,attention,"We're paying attention to that company."
注文,order,"I ordered pizza at the restaurant."
意味,meaning,"What does that mean?"
意見,opinion,"I want to hear your opinion."
チケット,ticket,"The ticket for this amusement park costs 3,000 yen."
注意,caution / attention,"Please be careful of cars."
用意,preparation,"The meal is ready."
確か,certain / sure,"His promotion is certain."
確認,confirmation,"I confirmed the reservation again."
チョコレート,chocolate,"My little sister loves chocolate."
機能,function,"This software has various functions."
ジェット機,jet airplane,"A jet plane is flying."
機械,machine,"The new machine broke down."
材料,materials / ingredients,"I prepared the ingredients for the salad."
チャンネル,channel,"Please change the TV channel."
具体的,specific / concrete,"Please show me some specific examples."
基づく,to be based on,"This story is based on the truth."
基本,basic / foundation,"I'm learning the basics of jazz dance."
基準,standard,"This building doesn't meet construction standards."
つまらない,boring,"His story is boring."
備える,to prepare / equip,"I stocked up on water to prepare for disasters."
準備,preparation,"I prepared for tomorrow's meeting."
設計,design,"My older brother designs ships."
施設,facilities,"That hotel has many leisure facilities."
マッチ,match,"Do you have any matches?"
設ける,to set up / to establish,"I set up a review session at the end of the class."
説明,explanation,"Please explain the meaning of this word."
小説,novel,"I read about three novels a month."
公開,release / open to the public,"That movie is being released today."
公園,park,"Children are playing in the park."
動物園,zoo,"Yesterday, I went to the zoo with my kids."
祭り,festival,"She loves festivals."
国際,international,"An international conference is being held here."
ストーブ,stove,"We're still using a stove at home."
実際,actually / in reality,"In reality, he's not very tall."
飛行場,airport,"The bus arrived at the airport."
航空便,airmail,"The documents arrived by airmail."
船便,seamail,"I received a package by seamail from my friend in America."
ガソリンスタンド,gas station,"Is there a gas station nearby?"
船,boat / ship,"We boarded the ship."
空港,airport,"I went to the airport by limousine bus."
港,port / harbor,"A ship arrived at the harbor."
島,island,"We traveled to Maui Island in Hawaii."
デート,date,"We went to an amusement park for a date."
完成,completion,"The new website has been completed."
平成,Heisei,"She was born in the third year of Heisei."
成功,success,"The experiment finally succeeded."
原因,cause,"What is the cause of this accident?"
ふすま,sliding door,"Please close the sliding door."
資金,funds,"We are saving for our wedding funds now."
投資,investment,"I'm investing in four companies."
願う,to wish,"I'm wishing for his recovery."
正確,accurate / precise,"His calculations are accurate."
レモン,lemon,"I added lemon to my tea and drank it."
正しい,correct,"That is the correct answer."
正月,New Year,"During New Year, families usually gather."
正直,honest,"She is very honest."
異なる,to differ,"He and I always have different opinions."
チーズ,cheese,"I ate a slice of cheese."
通常,usual / normal,"We are usually open until 8 PM."
非常に,very / extremely,"This is extremely important."
調べる,to look up / to investigate,"Let's look up the meaning of this word in the dictionary."
強調,emphasis,"He emphasized only the good points."
ドライブ,drive,"Today, I drove to Gunma."
季節,season,"Spring is my favorite season."
調査,investigation,"We are investigating the issue."
提供,offer / provide,"He provided the venue for the party."
提案,suggestion,"That idea is his suggestion."
ラケット,racket,"I bought a tennis racket."
案内,guide,"I will guide you inside."
示す,to show / to indicate,"He's showing interest in the new product."
連れて行く,to take (someone),"Please take me with you."
連れて来る,to bring (someone),"My son brought his friend along."
スチュワーデス,stewardess,"She became a stewardess."
続ける,to continue,"Please continue your work."
相手,opponent / partner,"Who is your opponent in the match?"
会談,talks / conference,"The content of the talks has been announced."
相談,consultation,"I have something to discuss."
テープレコーダー,tape recorder,"I recorded my voice on a tape recorder."
記者,journalist,"He is a newspaper journalist."
記録,record,"A world record was set in the marathon."
録音,recording,"I've already recorded that radio program."
登る,to climb,"Last year, we climbed Mount Fuji."
ひげ,beard,"My father is growing a beard."
関する,to be related to,"I read an article related to that issue."
関連,relation,"I contacted the related section."
関係,relation / connection,"He has no relation to the incident."
状況,situation,"Under this situation, departure is difficult."
ぐっすり,soundly / deeply,"The baby is sleeping soundly."
状態,condition / state,"The road condition here is very bad."
治る,to heal / to be cured,"Has your injury healed already?"
政治,politics,"I am interested in politics."
治す,to cure / to fix,"Please recover from your cold quickly."
ソース,sauce,"Which one is the sauce?"
政府,government,"The government did nothing about the demonstration."
党,party,"The party representative answered the question."
対策,measure / countermeasure,"Let's think of measures together."
政策,policy,"I don't think the new policy is very good."
タイプライター,typewriter,"My mother has an old typewriter."
選ぶ,to choose / to select,"Choosing a good house is difficult."
選手,athlete,"He is a professional soccer player."
選挙,election,"He plans to run in the election."
候補,candidate,"There are three candidates for the chairman."
トマト,tomato,"I love tomatoes."
首相,prime minister,"The current prime minister is not very strong."
首都,capital city,"Tokyo is the capital of Japan."
改革,reform,"He wants to reform the administration."
革,leather,"I bought a leather belt."
バター,butter,"I spread butter on bread and ate it."
命令,order / command,"She didn't obey the order."
番組,program,"I like this program."
組み立てる,to assemble,"I will assemble the bookshelf on Sunday."
組織,organization,"He is the leader of an organization."
バレーボール,volleyball,"My younger sister is good at volleyball."
進める,to advance / to proceed,"Let's proceed with the class quickly."
進む,to go forward / to advance,"Please move forward."
進学,higher education,"She will advance to university next year."
拡大,enlargement / expansion,"Please make an enlarged copy of this diagram."
責任,responsibility,"He took responsibility for the failure and resigned from the company."
辞める,to quit,"He is quitting the company."
辞書,dictionary,"She often uses a dictionary."
通勤,commuting,"It takes 30 minutes to commute every morning."
カレンダー,calendar,"I wrote my plans on the calendar."
勤める,to work / to serve,"I work at a bank."
事務所,office,"Please come to the office later."
事務室,office room,"I will go to the office room to make a copy."
従来,conventional / traditional,"This printer is faster than conventional ones."
ハンドバッグ,handbag,"I forgot my handbag."
成績,grades / results,"My grades have improved."
集める,to collect,"My younger brother collects stamps."
集まる,to gather,"People are gathering in front of the station."
採用,employment / adoption,"That company hires many women."
ベル,bell,"The doorbell rang."
給料,salary,"Salaries will increase starting next year."
卒業,graduation,"I graduated from university last year."
就職,employment,"Recently, it has become harder for young people to find jobs."
退院,discharge from hospital,"My mother is being discharged today."
インク,ink,"I bought ink for the printer."
契約,contract,"The player signed a contract with a new team."
交渉,negotiation,"I am currently negotiating the price."
事件,incident / case,"The criminal in the case hasn't been caught yet."
条件,condition / term,"These conditions are too strict."
クーラー,air conditioner,"I turned on the air conditioner because it was hot."
参加,participation,"Tomorrow, I will participate in the city marathon."
増加,increase,"The island's population is increasing year by year."
加える,to add,"Please add salt and pepper."
加工,processing,"This factory processes fish."
ミルク,milk,"I gave milk to the baby."
比べる,to compare,"I compared the sales of this month with last month."
批判,criticism,"He criticized his colleague."
評価,evaluation / assessment,"Recently, his evaluation has improved."
対象,target / subject,"This survey targets university students."
サラダ,salad,"I ate a lot of salad."
故障,breakdown / malfunction,"The refrigerator broke down."
修理,repair,"I sent the car for repair."
乗り換える,to transfer / to change (trains),"I'll transfer to the subway at the next station."
乗り換え,transfer,"You'll transfer at the next station."
換える,to change / to replace,"I replaced the car tires."
着替える,to change clothes,"He changed into clean clothes."
被る,to wear (on the head),"He wore a hat and went out."
破る,to tear / to defeat,"He magnificently defeated a strong opponent."
ベルト,belt,"The belt has become tight."
破れる,to be torn,"The shirt is torn."
壊す,to break,"She broke my phone."
壊れる,to be broken,"The company's computer broke."
救急車,ambulance,"Someone call an ambulance!"
ラーメン,ramen,"I ate ramen for dinner."
助ける,to help / to save,"She saved a sick dog."
立派,fine / splendid,"He is a splendid person."
警察,police,"Call the police."
ライター,lighter,"I forgot my lighter at the store."
盗む,to steal,"Someone stole my bag."
殺す,to kill,"I dislike killing living things."
逮捕,arrest,"The fleeing criminal was arrested."
ワイシャツ,shirt,"He is wearing a white shirt."
戦争,war,"There was a war in Iraq in 2003."
競争,competition,"The two companies are competing with each other."
混む・込む,to be crowded,"The train is crowded."
大統領,president,"Who is the president of France?"
シャワー,shower,"I quickly took a shower in the morning."
捨てる,to throw away,"Please throw away the trash."
拾う,to pick up,"I picked up a wallet on the street."
池,pond,"There are carp in the pond."
電池,battery,"Let's put in new batteries."
深い,deep,"That pond is very deep."
深さ,depth,"The depth of this pool is 2 meters."
浅い,shallow,"This river is shallow."
落とす,to drop,"I dropped my wallet along the way."
ごみ,trash / garbage,"Today is garbage day."
泳ぐ,to swim,"She swims for dieting."
水泳,swimming,"My mother swims for her health."
流れる,to flow,"Beautiful music is flowing from the radio."
流行る,to be popular,"Sneakers were popular last year."
スーパーマーケット,supermarket,"I bought carrots at the supermarket."
洗う,to wash,"Quickly wash your face."
洗面所,washroom,"I washed my face in the washroom."
油,oil,"Water and oil do not mix."
沈む,to sink,"The boat sank into the river."
ハンカチ,handkerchief,"I wiped my hands with a handkerchief."
久しぶり,after a long time,"Tomorrow, I'll meet my friend for the first time in a while."
氷,ice,"Please put ice in the glass."
冷える,to cool down,"My body cooled down because of the air conditioner."
冷やす,to cool / chill,"Cool your head."
ビデオテープ,videotape,"I own 30 videotapes."
冷める,to cool off (emotion),"My feelings for him have cooled off."
凍る,to freeze,"Roads freeze on cold mornings."
冷蔵庫,refrigerator,"Drinks are in the refrigerator."
涼しい,cool (weather),"It gets cooler in the evening."
ぶらぶら,to stroll / wander,"I strolled around the neighborhood in the morning."
汚す,to make dirty,"He dirtied his clothes."
汚れ,dirt / stain,"I removed the dirt from my shoes."
汚れる,to get dirty,"If you don't wear an apron, your clothes will get dirty."
景色,scenery / view,"The view here is beautiful."
アナウンサー,announcer,"I want to become an announcer."
影響,influence,"I was greatly influenced by him."
太る,to gain weight,"My sister gains weight easily."
太陽,sun,"The sun hid behind the clouds."
スプーン,spoon,"We eat curry rice with a spoon."
星,star,"You can see the stars well tonight."
地球,Earth,"The Earth is round."
野球,baseball,"I played baseball with my friends."
雲,cloud,"There are many clouds today."
ブラウス,blouse,"She is wearing a white blouse."
曇り,cloudy weather,"Today was cloudy all day."
地震,earthquake,"Japan has many earthquakes."
震える,to tremble / to shake,"He was trembling from the cold."
振る,to shake / to wave,"The dog is wagging its tail."
リボン,ribbon,"I attached a ribbon to the present."
揺れる,to sway / to shake,"The trees are swaying in the wind."
神社,shrine,"Kyoto has many shrines."
秘密,secret,"This is a secret."
厳しい,strict / severe,"My boss is very strict."
年寄り,elderly person,"There are many elderly people living in that village."
歴史,history,"I am interested in history."
世紀,century,"This is the beginning of a new century."
建設,construction,"Construction of a new building has started."
ステレオ,stereo,"He listened to music on a stereo."
建物,building,"This is the oldest building in Japan."
建つ,to be built,"A house will be built here next year."
構成,composition / structure,"I tried changing the system's composition."
構造,structure,"The structure of this building is complex."
フォーク,fork,"May I have a fork?"
柱,pillar / column,"The pillars of this house are thick."
位置,position / location,"My town is located north of Tokyo."
離婚,divorce,"My friend got divorced."
停車,"stopping (train, vehicle)","This train does not stop until Tokyo."
バス停,bus stop,"I'll get off at the next bus stop."
周辺,surrounding area,"There are many universities in this area."
きらきら,glittering / sparkling,"The stars are sparkling brightly."
黄色,yellow,"The traffic light was yellow."
横,side / width,"The width is one meter."
横書き,horizontal writing,"This book is written horizontally."
判断,judgment / decision,"His judgment is correct."
どうぞ,please / go ahead,"Please, this way."
断る,to refuse / decline,"I refused his proposal."
横断歩道,crosswalk,"There is a crosswalk over there."
大幅,substantial / large-scale,"The plan was changed significantly."
訪れる,to visit,"I visited Kyoto in the summer."
ネックレス,necklace,"I gave my wife a necklace as a present."
訪ねる,to visit / call on,"He visited a friend in New York."
冷房,air conditioning,"Turn on the air conditioning, please."
暖房,heating,"Heating is necessary in winter."
文房具,stationery,"I bought new stationery."
パジャマ,pyjamas,"Wear these pyjamas."
諸国,various countries,"He traveled to various European countries."
緑色,green,"He is wearing a green jacket."
貿易,trade,"My father works in the trade business."
輸入,import,"These clothes were imported from Italy."
ボールペン,ballpoint pen,"Please write your name with a ballpoint pen."
輸出,export,"His company exports cars."
指輪,ring,"He gave her a ring as a present."
往復,round trip,"I'd like a round-trip ticket, please."
復習,review,"Did you review yesterday's lessons?"
すいか,watermelon,"Watermelon tastes great in summer."
繰り返す,to repeat,"She repeated the same mistake."
留学,study abroad,"I studied in the U.S. for a year."
停留所,bus stop,"I waited 10 minutes at the bus stop."
書留,registered mail,"I'd like to send this by registered mail."
そちら,there,"I will arrive there in the evening."
守る,to protect / keep,"He is someone who keeps promises."
留守,not at home,"My father is not at home now."
住宅,housing / residential area,"This is a quiet residential area."
自宅,one's home,"Please call me at home."
お宅,your house (polite),"Where is your teacher's house?"
早起き,early rising,"My grandfather wakes up early."
昼寝,nap,"My child takes a nap every day."
静か,quiet,"I want to go to a quiet place this summer vacation."
どっち,which one,"Which color do you like?"
暇,free time / leisure,"Are you free tomorrow?"
趣味,hobby,"My hobbies are movies and tennis."
両方,both,"Please give me both chocolate and cake."
両替,currency exchange,"Please exchange this 10,000 yen."
バスケットボール,basketball,"My sister is a basketball player."
両親,parents,"My parents live in Osaka."
片道,one way,"I bought a one-way ticket to Tokyo."
内側,inside,"Please stand behind the white line."
向こう側,other side,"My house is on the other side of the river."
サンドイッチ,sandwich,"Today's lunch is a sandwich."
外側,outside,"Don't walk outside the white line."
左側,left side,"Look at the left side of the screen."
右側,right side,"She always walks on my right side."
にこにこ,smiling,"She is always smiling."
裏返す,to turn over,"He turned over the paper."
週刊誌,weekly magazine,"That weekly magazine is full of gossip."
朝刊,morning paper,"There was an interesting article in today's morning paper."
夕刊,evening paper,"I saw that news in the evening paper."
ウール,wool,"This wool sweater is warm."
詳しい,detailed,"Please explain in more detail."
細かい,minute / small,"She is picky about small details."
細か,small / trivial,"That is a small issue."
積もる,to pile up / accumulate,"Snow is piling up."
コーラ,cola,"My older brother likes cola."
訳,reason / meaning,"That's why I quit my job."
訳す,to translate,"Please translate this sentence."
検討,to consider,"Please consider this issue by today."
塗る,to paint,"I'm painting the wall."
トイレットペーパー,toilet paper,"I replaced the toilet paper."
付く,to stick / attach,"Mud is stuck to the shoes."
付ける,to attach / add,"I added a freebie."
受け付ける,to accept,"We accept mail until 5 o'clock."
片付ける,to tidy up,"Quickly tidy up your room."
どなた,who (polite),"Excuse me, but who is this?"
受付,reception desk,"Reception starts at 9 o'clock."
近付く,to approach / get closer,"A woman approached."
片付く,to be tidied up / settled,"A lot of the work has been sorted."
気を付ける,to take care / pay attention,"Please take care of your health."
ハイキング,hiking,"I went hiking with a friend yesterday."
貼る,to stick / paste,"I put a sticker on the desk."
記念日,anniversary,"Today is my parents' wedding anniversary."
残念,unfortunate,"The match ended in a disappointing result."
例えば,for example,"For example, you can study Japanese with this software."
ハム,ham,"I'd like a ham sandwich."
例文,example sentence,"Please create three example sentences."
例,example,"Give one example."
余る,to be left over,"A lot of dinner was left over."
除く,to exclude / remove,"Everyone except the manager worked on Saturday."
ボーイフレンド,boyfriend,"My boyfriend was a handsome person."
削る,to shave / reduce,"He reduced his work hours for his family."
遅刻,being late,"Please don't be late."
緩い,loose,"These pants are loose."
苦しい,painful / difficult,"I'm feeling bloated from eating too much."
アイロン,iron (appliance),"She ironed the shirt."
苦い,bitter,"I like bitter coffee."
苦手,poor at / dislike,"I'm bad at cooking."
困る,to be troubled,"I'm in trouble because I lost my phone."
貧乏,poor / poverty,"He was poor in the past."
カレーライス,curry rice,"Kids love curry rice."
不幸,misfortune,"Her family experienced a misfortune."
幸せ,happiness,"I'm happy to have good friends."
塩,salt,"Add a little more salt."
塩辛い,salty,"Sea water is salty."
キャッシュカード,cash card,"I withdrew money using my cash card."
砂糖,sugar,"Do you put sugar in your coffee?"
規模,scale / scope,"This zoo is the largest in Japan."
農業,agriculture,"I am studying agriculture."
濃い,strong / thick,"I like strong flavors."
イヤリング,earring,"She is wearing beautiful earrings."
薄い,thin / light,"This electronic dictionary is very thin."
厚い,thick,"That dictionary is very thick."
厚さ,thickness,"I measured the thickness of the board."
迫る,to approach / draw near,"The deadline is approaching."
ガールフレンド,girlfriend,"In the past, we called her a girlfriend."
伸びる,to grow / stretch,"Your hair has grown quite a lot."
越える,to cross / go over,"We crossed a high mountain."
カセットテープ,cassette tape,"We used cassette tapes in the past."
追い越す,to overtake,"A big truck overtook us."
上昇,rise / increase,"The Earth's temperature is rising."
改札口,ticket gate,"Let's meet at the ticket gate."
失礼,excuse me / rude,"Excuse me, I'll be leaving soon."
かゆい,itchy,"My back is itchy."
お礼,thanks / gratitude,"I wrote her a thank-you letter."
謝る,to apologize,"He apologized immediately."
注射,injection,"He doesn't like injections very much."
程度,degree / extent,"This level of injury is fine."
ぐらぐら,shaking,"The house shook violently during the earthquake."
誘う,to invite,"I invited her on a date."
導入,introduction,"The company introduced a new system."
努力,effort,"Let's put in more effort."
怒る,to get angry,"He got angry because she lied."
ジャム,jam,"Let's make jam with these strawberries."
独身,single / unmarried,"My older brother is still single."
占める,to occupy / account for,"Spam emails account for 70% of the emails I receive."
処理,processing,"The administrative processing will take a week."
紹介,introduction,"I introduced her to my parents."
スリッパ,slippers,"Please wear slippers."
招く,to invite,"I invited my parents for dinner."
招待,invitation,"I invited my high school teacher to my wedding."
夫婦,married couple,"That couple gets along very well."
奥,inner part / interior,"The scissors were at the back of the desk."
トランプ,playing cards,"I played cards with my friends."
奥さん,wife,"His wife is a beautiful person."
皆さん,everyone,"I have something to tell everyone."
皆様,ladies and gentlemen,"Hello, everyone."
誰か,someone,"Please ask someone."
よろしい,good / fine,"Is this report okay like this?"
国籍,nationality,"I have Japanese nationality."
愛,love,"She wrote the letter with love."
可愛い,cute / adorable,"Her baby is adorable."
恋人,lover / significant other,"He lost his lover."
ラッシュアワー,rush hour,"I dislike the rush hour trains."
誕生日,birthday,"Her birthday is July 16th."
祝日,public holiday,"May 3rd is a public holiday."
お祝い,celebration,"Let's celebrate his new job."
カップ,cup,"Add one cup of water."
泣く,to cry,"My little sister cries easily."
涙,tears,"Tears spilled from her eyes."
喜ぶ,to rejoice,"She was very happy."
恥ずかしい,embarrassed,"I was very embarrassed."
スケート,skating,"I skated on the lake."
弁当,lunchbox,"I brought a bento today."
看護婦,nurse,"My mother is a nurse."
患者,patient,"The patient is sleeping."
述べる,to state / express,"The boss expressed his opinion."
たくさん,many / a lot,"I swam a lot yesterday."
訴える,to sue / complain,"She sued the company."
迷う,to get lost,"I got lost on the way."
迷惑,trouble / nuisance,"You shouldn't trouble others."
地域,region / area,"This area has a lot of rain."
ピクニック,picnic,"Let's go on a picnic today."
政権,administration / government,"The administration changed."
贈る,to give / present,"I gave my mother flowers."
贈り物,gift / present,"Thank you very much for the lovely gift."
与える,to give / grant,"The news gave him a huge shock."
貯金,savings,"I have enough savings."
預ける,to entrust,"I entrusted the key to him."
預かる,to keep / look after,"Please keep the luggage."
得意,good at,"He is good at singing."
どきどき,nervous / excited,"I get nervous when I meet her."
