expression,meaning,sentence_translation
荷物,Gepäck / Paket,"Ich trage das Gepäck."
品物,Ware / Artikel,"Ich wähle die Ware aus."
見物,Besichtigung,"Ich besichtige die Sehenswürdigkeiten."
物,Sache / Ding,"Das ist eine wichtige Sache."
プラスチック,Plastik,"Ich benutze einen Plastikbehälter."
忘れ物,vergessene Sache,"Ich habe etwas im Zug vergessen."
重さ,Gewicht,"Ich wiege das Gepäck."
配る,verteilen / austeilen,"Ich verteile die Ausdrucke."
配達,Lieferung,"Ich liefere das Paket."
カラー,Farbe,"Ich habe ein neues farbiges Hemd gekauft."
心配,Sorge / Besorgnis,"Ich bin besorgt wegen der Prüfung."
見送る,verabschieden / begleiten,"Ich habe meinen Freund verabschiedet."
見送り,Abschied / Begleitung,"Jemand kam, um mich zu verabschieden."
受ける,annehmen / erhalten,"Ich nehme an der Prüfung teil."
ピアノ,Klavier,"Ich spiele Klavier."
受け取る,erhalten / empfangen,"Ich habe das Paket erhalten."
取れる,abgehen / abfallen,"Der Knopf ist abgefallen."
書き取る,mitschreiben / notieren,"Ich schreibe die Rede genau mit."
届く,ankommen / erreichen,"Der Brief ist angekommen."
スキー,Ski / Skifahren,"Ich gehe im Winter Skifahren."
届ける,liefern / zustellen,"Ich habe das Paket zugestellt."
持つ,halten / besitzen,"Ich halte das Gepäck."
金持ち,reich,"Er ist reich."
持って行く,mitnehmen,"Ich nehme das Gepäck mit."
なかなか,ziemlich / nicht leicht,"Dieses Problem ist ziemlich schwierig."
持って来る,mitbringen,"Ich bringe das Getränk mit."
打つ,schlagen / treffen,"Ich schlage den Ball."
投げる,werfen,"Ich werfe den Ball."
生まれる,geboren werden,"Das Baby wurde geboren."
プール,Pool,"Ich schwimme im Pool."
生む,gebären / hervorbringen,"Sie brachte ein gesundes Kind zur Welt."
女性,Frau / weiblich,"Frauen versammeln sich und sprechen."
生産,Produktion / Herstellung,"Diese Fabrik stellt Autos her."
お土産,Mitbringsel / Souvenir,"Ich habe ein Reiseandenken gekauft."
ホーム,Bahnsteig,"Ich warte auf dem Bahnsteig."
生活,Leben / Alltag,"Das Leben in der Stadt ist bequem."
生徒,Schüler / Student,"Die Schüler betreten das Klassenzimmer."
中学,Mittelschule,"Er ist ein Lehrer an einer Mittelschule."
入学,Einschreibung / Eintritt in eine Schule,"Sie wird nächstes Jahr in die Oberschule aufgenommen."
エレベーター,Aufzug / Fahrstuhl,"Ich fahre mit dem Aufzug nach oben."
中学生,Mittelschüler,"Mittelschüler lernen in der Bibliothek."
小学生,Grundschüler,"Grundschüler spielen im Park."
見学,Besichtigung / Studium,"Ich habe eine Fabrik besichtigt."
通学,Pendeln zur Schule,"Ich benutze den Zug, um zur Schule zu pendeln."
メモ,Notiz / Memo,"Bitte machen Sie sich wichtige Notizen."
高校,Oberschule,"Er hat die Oberschule abgeschlossen."
小学校,Grundschule,"Dieses Kind besucht die Grundschule."
中学校,Mittelschule,"Ich habe den Direktor der Mittelschule getroffen."
校長,Schulleiter,"Der Schulleiter hat eine Rede gehalten."
パン,Brot,"Zum Frühstück habe ich Brot gegessen."
休校,Schulschließung,"Wegen des Schneesturms ist die Schule geschlossen."
教会,Kirche,"In der Kirche fand eine Hochzeit statt."
教育,Bildung / Erziehung,"Bildung ist wichtig."
育てる,aufziehen / großziehen,"Sie ist gut darin, Blumen zu züchten."
びっくりする,überrascht sein / erstaunt sein,"Ich war von seinen Worten überrascht."
育つ,wachsen / aufwachsen,"Diese Pflanze wächst schnell."
制度,System / Organisation,"Das japanische Bildungssystem ist gut organisiert."
強さ,Stärke / Macht,"Ich war überrascht von seiner Stärke."
取引,Handel / Geschäft,"Ich werde ein Treffen mit Geschäftspartnern abhalten."
ズボン,Hose,"Ich habe eine neue Hose gekauft."
引き出し,Schublade,"Der Schlüssel befindet sich in der Schublade."
押さえる,festhalten / sichern,"Bitte halten Sie Ihren Hut fest."
押し入れ,Wandschrank,"Ich verstaue die Bettdecken im Wandschrank."
練習,Übung / Training,"Ich übe Klavierspielen."
習う,lernen,"Er lernt Japanisch."
慣れる,sich gewöhnen,"Es dauert eine Weile, sich an die neue Umgebung zu gewöhnen."
習慣,Gewohnheit / Brauch,"Frühaufstehen ist eine gute Angewohnheit."
研究,Forschung / Studium,"Die Universität forscht an neuen Medikamenten."
グラム,Gramm,"Dieser Kuchen wiegt 500 Gramm."
試験,Prüfung / Test,"Nächste Woche habe ich eine Prüfung."
問題,Problem / Frage,"Dieses Problem ist schwierig."
簡単,einfach / leicht,"Dieses Problem ist einfach."
複雑,kompliziert / komplex,"Dieses System ist komplex."
コーヒー,Kaffee,"Ich trinke morgens Kaffee."
数字,Zahl / Nummer,"Ich habe Zahlen in mein Notizbuch geschrieben."
数学,Mathematik,"Er ist gut in Mathematik."
数える,zählen,"Sie zählt die Sterne."
今回,dieses Mal,"Die Prüfung war dieses Mal einfach."
テント,Zelt,"Ich habe ein Zelt beim Camping benutzt."
回る,sich drehen / herumgehen,"Die Erde dreht sich."
回す,drehen / rotieren,"Er drehte das Lenkrad."
個人,Individuum / privat,"Bitte respektieren Sie die Meinung des Einzelnen."
担当,verantwortlich sein / zuständig sein,"Ich bin für dieses Projekt verantwortlich."
ボート,Boot,"Ich bin auf dem See Boot gefahren."
当たる,treffen / gewinnen,"Ich habe in der Lotterie gewonnen!"
当時,damals / zu jener Zeit,"Damals war ich ein Student."
本当,wahr / wirklich,"Das ist eine wahre Geschichte."
当然,natürlich / selbstverständlich,"Es ist selbstverständlich, dass man Erfolg hat, wenn man sich anstrengt."
ボール,Ball,"Die Kinder spielen im Park Ball."
全然,überhaupt nicht,"Seine Geschichte war überhaupt nicht lustig."
方法,Methode / Verfahren,"Bitte sagen Sie mir, wie man dieses Problem lösen kann."
法律,Gesetz,"Dieses Gesetz trat letztes Jahr in Kraft."
規則,Regel / Vorschrift,"Lassen Sie uns die Schulregeln befolgen."
オートバイ,Motorrad,"Ich pendle mit dem Motorrad zur Arbeit."
経験,Erfahrung,"Er hat viel Erfahrung."
経つ,vergehen (Zeit),"Die Zeit vergeht so schnell."
経済,Wirtschaft,"Die japanische Wirtschaft wächst."
経営,Führung / Management,"Er führt ein Unternehmen."
ひどい,schrecklich / schlimm,"Es regnet schrecklich stark."
株,Aktie,"Der Aktienkurs ist plötzlich gestiegen."
企業,Unternehmen / Firma,"Ich arbeite für ein großes Unternehmen."
作業,Arbeit / Tätigkeit,"Diese Arbeit dauert lange."
産業,Industrie,"Japan hat eine gut entwickelte Industrie."
工業,Industrie (fertigungstechnisch),"Die Industrie ist der Hauptwirtschaftszweig in dieser Region."
商業,Handel,"Der Handel ist ein wichtiger Teil der Wirtschaft."
利用,Nutzung / Verwendung,"Ich nutze die Bibliothek."
便利,praktisch / nützlich,"Smartphones sind praktisch."
スイッチ,Schalter,"Bitte drücken Sie diesen Schalter."
技術,Technologie / Technik,"Neue Technologien wurden entwickelt."
手術,Operation,"Er hat eine Operation erhalten."
製造,Herstellung / Produktion,"Diese Fabrik stellt Autos her."
必ず,unbedingt / auf jeden Fall,"Bitte erledigen Sie Ihre Hausaufgaben unbedingt."
プレゼント,Geschenk,"Ich habe einem Freund ein Geschenk gemacht."
必要,notwendig / erforderlich,"Diese Information ist notwendig."
重要,wichtig,"Gesundheit ist wichtig."
要求,Forderung / Anspruch,"Seine Forderung ist gerecht."
目覚まし時計,Wecker,"Ich habe den Wecker auf 7 Uhr gestellt."
計算,Berechnung,"Die Berechnung war genau."
引き算,Subtraktion,"Ich übe die Subtraktion."
足し算,Addition,"Die Addition ist einfach."
交差点,Kreuzung,"Bitte seien Sie vorsichtig, wenn Sie die Kreuzung überqueren."
テニス,Tennis,"Ich habe am Wochenende Tennis gespielt."
割る,teilen / zerbrechen,"Bitte zerbrechen Sie das Glas nicht."
割れる,zerbrechen,"Das Glas ist zerbrochen."
割り算,Division,"Ich lerne die Division."
残る,bleiben,"Es ist noch ein bisschen Kuchen übrig."
こちら,hierher / diese Richtung,"Bitte kommen Sie hierher."
残す,übrig lassen,"Bitte lassen Sie keine Hausaufgaben übrig."
返す,zurückgeben,"Ich habe das Buch in die Bibliothek zurückgebracht."
返事,Antwort,"Ich warte auf seine Antwort."
借りる,leihen / ausleihen,"Ich habe Geld von einem Freund geliehen."
ボタン,Knopf / Taste,"Bitte drücken Sie diesen Knopf."
貸す,verleihen / ausleihen,"Ich habe ihm ein Buch geliehen."
貸し出す,ausleihen (als Service),"Die Bibliothek verleiht Bücher."
申し込む,beantragen / sich anmelden,"Ich habe mich für das Event angemeldet."
期待,Erwartung / Hoffnung,"Ich habe hohe Erwartungen an seinen Erfolg."
おかしい,lustig / seltsam / merkwürdig,"Die Geschichte ist wirklich seltsam."
期間,Zeitraum / Periode,"In diesem Zeitraum gibt es spezielle Rabatte."
時期,Zeitraum / Saison,"Das ist eine sehr geschäftige Zeit."
限る,begrenzen / einschränken,"Die Anzahl dieses Produkts ist begrenzt."
コート,Mantel,"Ich trage einen Mantel, weil es kalt ist."
急,eilig / plötzlich / dringend,"Ein dringendes Anliegen ist aufgetaucht."
急行,Eilzug,"Ich bin mit dem Eilzug gefahren."
切れる,schneiden / reißen / ausgehen,"Dieses Messer schneidet sehr gut."
ドラマ,Drama,"Ich schaue eine interessante Dramaserie."
切手,Briefmarke,"Ich sammle Briefmarken."
売り切れる,ausverkauft sein,"Das beliebte Produkt war schnell ausverkauft."
売り切れ,Ausverkauf / ausverkauft,"In diesem Laden gibt es oft ausverkaufte Produkte."
大切,wichtig / wertvoll,"Gesundheit ist sehr wichtig."
ビザ,Visum,"Für die Reise benötige ich ein Visum."
切符,Ticket / Fahrkarte,"Ich habe eine Fahrkarte für den Zug gekauft."
入場券,Eintrittskarte,"Ich habe eine Eintrittskarte fürs Kino gekauft."
家賃,Miete,"Ich bezahle jeden Monat meine Miete."
時代,Epoche / Zeit,"Das ist der Beginn einer neuen Ära."
ポケット,Tasche (Kleidung),"Ich habe die Brieftasche in meine Tasche gesteckt."
代わる,ersetzen / vertreten,"Er ging an meiner Stelle."
代える,ersetzen / austauschen,"Ich habe den Plan durch einen neuen ersetzt."
指,Finger,"Ich habe meinen Finger verletzt."
決定,Entscheidung / Beschluss,"Ein neuer Anführer wurde entschieden."
そろそろ,bald / langsam,"Ich werde mich langsam auf den Heimweg machen."
一定,bestimmt / konstant,"Ich halte die Temperatur konstant."
定期券,Monatskarte / Dauerticket,"Ich habe eine Monatskarte gekauft."
予定,Plan / Zeitplan / Vorhaben,"Ich habe den Plan für morgen überprüft."
天気予報,Wettervorhersage,"Hast du die Wettervorhersage gesehen?"
ぶどう,Trauben,"Die Trauben schmecken köstlich."
予習,Vorbereitung (für den Unterricht),"Ich habe mich vor dem Unterricht vorbereitet."
予約,Reservierung / Termin,"Ich habe einen Tisch im Restaurant reserviert."
約束,Versprechen / Verabredung,"Ich habe eine Verabredung mit einem Freund."
変わる,sich ändern / wechseln,"Die Jahreszeit hat sich geändert."
めったに,selten,"Er wird selten wütend."
変,seltsam / ungewöhnlich,"Diese Denkweise ist seltsam."
変化,Veränderung,"Es gab eine große Veränderung."
強化,Stärkung / Intensivierung,"Ich trainiere, um meine körperliche Stärke zu verbessern."
クリスマス,Weihnachten,"Dieses Jahr war Weihnachten sehr schön."
文化,Kultur,"Ich möchte die japanische Kultur lernen."
増える,zunehmen / steigen,"Die Bevölkerung nimmt zu."
増やす,vermehren / steigern,"Ich habe die Trainingszeit erhöht."
減る,abnehmen / sinken,"In letzter Zeit habe ich abgenommen."
ネクタイ,Krawatte,"Ich habe eine neue Krawatte gekauft."
減らす,reduzieren / verringern,"Ich möchte Verschwendung reduzieren."
乗り物,Fahrzeug,"Ich interessiere mich für Fahrzeuge."
降りる,aussteigen / herabsteigen,"Ich steige an der nächsten Station aus."
降ろす,absetzen / abladen,"Ich habe das Gepäck aus dem Auto abgeladen."
バイオリン,Violine,"Sie spielt die Violine hervorragend."
降る,"fallen (Regen, Schnee)","Es regnet gerade."
着く,ankommen,"Ich bin am Bahnhof angekommen."
着物,Kimono,"Ich habe im Kimono Fotos gemacht."
下着,Unterwäsche,"Ich habe neue Unterwäsche gekauft."
パスポート,Reisepass,"Vergessen Sie nicht Ihren Reisepass."
上着,Oberbekleidung,"Zieh dir eine Jacke an, es ist kalt."
着せる,anziehen (jemand anderem Kleidung anlegen),"Die Mutter zog ihrem Kind einen Mantel an."
脱ぐ,ausziehen,"Bitte ziehen Sie Ihre Schuhe aus, bevor Sie das Haus betreten."
立場,Standpunkt / Position,"Bitte berücksichtigen Sie seine Position."
バッグ,Tasche,"Ich habe eine neue Tasche gekauft."
目立つ,auffallen,"Rote Autos fallen auf."
立てる,aufstellen / planen,"Lass uns einen Plan machen."
役に立つ,nützlich sein,"Dieses Buch ist sehr hilfreich."
出席,Teilnahme / Anwesenheit,"Er hat an der Besprechung teilgenommen."
ゴム,Gummi,"Dieses Gummi ist dehnbar."
席,Sitzplatz,"Bitte setzen Sie sich auf den vorderen Platz."
欠席,Abwesenheit,"Er war heute nicht im Unterricht."
次男,zweitältester Sohn,"Der zweitälteste Sohn ist Mittelschüler."
次女,zweitälteste Tochter,"Die zweitälteste Tochter ist Studentin."
ギター,Gitarre,"Ich übe Gitarre."
運転,Fahren,"Ich liebe das Autofahren."
運転手,Fahrer,"Der Fahrer war freundlich."
転ぶ,fallen / stolpern,"Ich bin auf der Treppe gestolpert."
セーター,Pullover,"Ich trage einen warmen Pullover."
移す,verschieben / umstellen,"Ich habe den Schreibtisch ins Nachbarzimmer verschoben."
動き,Bewegung,"Seine Bewegungen sind schnell."
運動,Sport / Bewegung,"Ich mache jeden Morgen Sport."
活動,Aktivität,"Ich nehme an dieser Aktivität teil."
動物,Tier,"Ich bin in den Zoo gegangen."
動かす,bewegen / verschieben,"Dieser Tisch ist zu schwer, um ihn zu bewegen."
不動産屋,Immobilienmakler,"Ich habe beim Immobilienmakler nach einer Wohnung gesucht."
カーテン,Gardine / Vorhang,"Bitte schließen Sie die Gardinen."
早口,schnelles Sprechen,"Er spricht sehr schnell."
速さ,Geschwindigkeit,"Ich war überrascht über die Geschwindigkeit des Shinkansen."
速達,Eilzustellung,"Ich habe den Brief per Eilzustellung verschickt."
シャツ,Hemd,"Ich trage ein weißes Hemd."
遅れる,sich verspäten,"Der Bus verspätet sich."
開始,Start / Beginn,"Die Veranstaltung beginnt um 10 Uhr."
始めに,zu Beginn,"Zu Beginn habe ich mich vorgestellt."
現在,Gegenwart / aktuell,"Derzeit lebe ich in Tokio."
ナイフ,Messer,"Ich habe ein scharfes Messer benutzt."
実現,Verwirklichung,"Ich habe meinen Traum verwirklicht."
実施,Durchführung,"Ich habe den neuen Plan umgesetzt."
事実,Fakt / Tatsache,"Das ist eine Tatsache."
実行,Umsetzung,"Ich habe den Plan umgesetzt."
バイク,Motorrad,"Ich fahre mit dem Motorrad zur Arbeit."
実験,Experiment,"Ich habe ein wissenschaftliches Experiment durchgeführt."
通過,Vorbeifahrt / Durchfahrt,"Dieser Zug fährt durch."
過ぎる,vergehen,"Die Zeit vergeht schnell."
昼過ぎ,nachmittags / nach Mittag,"Ich gehe am Nachmittag aus."
過去,die Vergangenheit,"Bitte denke nicht über die Vergangenheit nach."
開発,Entwicklung / Erschließung,"Ich habe eine neue App entwickelt."
発生,Auftreten / Entstehung,"Es ist ein Unfall passiert."
発言,Äußerung / Aussage,"Ich war überrascht von seiner Aussage."
オレンジ,Orange,"Ich habe eine Orange gegessen."
発見,Entdeckung,"Wir haben einen neuen Stern entdeckt."
出発,Abfahrt / Aufbruch,"Ich fahre morgen früh ab."
発車,Abfahrt (von einem Zug / Bus),"Der Zug ist abgefahren."
発表,Ankündigung / Präsentation,"Wir haben ein neues Produkt vorgestellt."
きつい,eng / streng / hart,"Diese Schuhe sind zu eng."
表現,Ausdruck / Darstellung,"Seine Ausdrucksweise ist leicht verständlich."
代表,Vertreter / Repräsentant,"Das japanische Team tritt im Spiel an."
表,Vorderseite,"Bitte schau dir die Vorderseite dieses Papiers an."
表,Tabelle / Liste,"Die Daten sind in dieser Tabelle zusammengefasst."
さっき,von kurzem / gerade eben,"Ich bin gerade am Bahnhof angekommen."
手紙,Brief,"Ich habe einen Brief geschrieben."
絵,Bild / Gemälde,"Dieses Bild ist wunderschön."
雑誌,Zeitschrift,"Ich habe eine Zeitschrift gelesen."
音,Geräusch / Laut,"Dieses Geräusch ist sehr leise."
テキスト,Text,"Bitte lies den Text im Lehrbuch."
音,Klang / Geräusch,"Ich höre das Geräusch der Tür."
音楽,Musik,"Ich höre Musik."
薬,Medizin / Arznei,"Ich habe meine Medizin eingenommen."
歌,Lied / Gesang,"Er ist gut im Singen."
ビニール,Plastikfolie / Vinyl,"Ich habe eine Plastiktüte dabei."
歌手,Sänger / Sängerin,"Ich habe einen berühmten Sänger getroffen."
欲しがる,wollen / wünschen (Dritte Person),"Sie möchte eine neue Tasche."
計画,Plan / Projekt,"Ich habe eine Reise geplant."
映画,Film,"Ich bin ins Kino gegangen."
りんご,Apfel,"Einen Apfel, bitte."
面白い,interessant / lustig,"Dieses Buch ist sehr interessant."
写る,fotografiert werden / erscheinen,"Das Foto ist gut geworden."
写す,kopieren / fotografieren,"Ich habe ein Foto gemacht."
写真,Fotografie / Foto,"Bitte zeige mir die Reisebilder."
アルバム,Album,"Ich schaue mir das Abschlussalbum an."
真っ赤,knallrot,"Sein Gesicht ist knallrot."
真面目,ernsthaft / fleißig,"Sie ist sehr ernsthaft."
真ん中,Mitte / Zentrum,"In der Mitte des Raumes steht ein Tisch."
真っ白,schneeweiß,"Der Schnee ist schneeweiß."
スカート,Rock,"Dieser Rock ist kurz."
真っ暗,stockfinster,"Das Zimmer ist stockfinster."
真っ黒,pechschwarz,"Die Kohle ist pechschwarz."
真っ青,himmelblau,"Der Himmel ist himmelblau."
色々,verschiedenartig / allerlei,"Es gibt verschiedene Arten von Blumen."
ペン,Stift,"Bitte schreibe deinen Namen mit einem Stift."
人形,Puppe,"Diese Puppe ist süß."
形,Form / Gestalt,"Die Form dieser Box ist quadratisch."
大型,groß / Großformat,"Ich habe ein großes Auto gesehen."
種類,Art / Sorte,"Es gibt viele Arten von Tieren."
直す,reparieren / korrigieren,"Ich habe die Uhr repariert."
真っ直ぐ,geradeaus,"Bitte gehen Sie geradeaus."
直接,direkt,"Fragen Sie ihn direkt."
角,Ecke,"Biegen Sie an der nächsten Ecke rechts ab."
きっと,bestimmt / sicherlich,"Bestimmt wird er kommen."
三角,Dreieck,"Dieser Tisch hat die Form eines Dreiecks."
四角,Viereck,"Ich habe eine viereckige Box gekauft."
四角い,viereckig,"Dieser Schreibtisch ist viereckig."
四つ角,Kreuzung / vier Ecken,"Ich warte an der Kreuzung auf das Signal."
メニュー,Menü,"Ich habe das Menü im Restaurant angesehen."
曲,Lied / Musikstück,"Dieses Lied ist sehr bekannt."
曲げる,biegen,"Er bog den Draht."
曲がり角,Kurve / Straßenecke,"Biegen Sie an der nächsten Kurve links ab."
同様,ähnlich / ebenso,"Er war ebenso überrascht."
アイスクリーム,Eiscreme,"Im Sommer esse ich oft Eiscreme."
間違い,Fehler,"Es gab einen Fehler in seiner Antwort."
間違える,sich irren / verwechseln,"Ich habe den Zug verwechselt."
間違う,einen Fehler machen,"Manchmal irre ich mich im Weg."
似ている,ähneln / ähnlich sein,"Sie ähnelt ihrer Mutter."
以上,mehr als / darüber hinaus,"Ich kann nicht mehr als das tun."
旅行,Reise,"Ich mag es, zu reisen."
大使館,Botschaft,"Ich habe meinen Pass in der Botschaft erneuert."
旅館,Gasthaus / Ryokan,"Ich habe in einem japanischen Gasthaus übernachtet."
ジュース,Saft,"Ich trinke morgens immer Saft."
映画館,Kino,"Ich habe im Kino einen neuen Film gesehen."
宿題,Hausaufgaben,"Bitte vergiss nicht, deine Hausaufgaben zu machen."
泊める,übernachten lassen,"Ich habe einen Freund bei mir übernachten lassen."
遊び,Spiel / Freizeit,"Ich habe im Park gespielt."
ゼロ,null / Nullpunkt,"Das Thermometer zeigt null Grad an."
洋服,Kleidung / westliche Kleidung,"Er hat neue Kleidung gekauft."
教室,Klassenraum,"Ich lerne im Klassenraum."
図書室,Bibliothek / Lesesaal,"Ich habe ein Buch in der Bibliothek ausgeliehen."
窓,Fenster,"Bitte öffnen Sie das Fenster."
ピンク,rosa,"Die rosa Blumen blühen."
親しい,vertraut / eng,"Er ist ein enger Freund."
親切,freundlich / hilfsbereit,"Eine freundliche Person hat mir den Weg gezeigt."
不親切,unfreundlich / nicht hilfsbereit,"Er zeigte eine unfreundliche Haltung."
家族,Familie,"Ich bin mit meiner Familie verreist."
グラス,Glas,"Ich habe Wasser in ein Glas gegossen."
万歳,Hurra / Hochruf,"Ich habe Hurra gerufen, nachdem ich die Prüfung bestanden habe."
二十歳,zwanzig Jahre alt,"Sie ist zwanzig Jahre alt geworden."
姉さん,ältere Schwester,"Meine ältere Schwester ist Studentin."
兄さん,älterer Bruder,"Mein älterer Bruder ist gut im Fußball."
ダンス,Tanz,"Ich lerne zu tanzen."
兄弟,Geschwister,"Ich bin mit meinen Geschwistern verreist."
業者,Unternehmer / Anbieter,"Ich habe einen Umzugsunternehmer gerufen."
若者,junge Leute,"Die jungen Leute versammeln sich."
彼ら,sie / sie alle,"Sie sehen sich das Fußballspiel an."
結合,Kombination / Verbindung,"Dieses Problem wird durch Kombination gelöst."
結果,Ergebnis,"Die Ergebnisse der Prüfung wurden bekanntgegeben."
果物,Obst,"Ich habe viel Obst gekauft."
課題,Aufgabe / Thema,"Bitte arbeiten Sie gründlich an der Aufgabe."
サッカー,Fußball,"Er ist gut im Fußball."
課,Kapitel / Lektion,"Ich habe die Aufgaben für heute abgeschlossen."
効果,Wirkung / Effekt,"Dieses Medikament zeigt Wirkung."
自動車,Auto / Fahrzeug,"Ich fahre ein Auto."
自然,Natur,"Ich liebe die Natur."
スープ,Suppe,"Ich habe Suppe getrunken."
自習,Selbststudium,"Heute ist Selbststudienzeit."
理由,Grund,"Bitte nennen Sie den Grund dafür."
自由,Freiheit,"Bitte sprechen Sie frei."
バナナ,Banane,"Ich mag Bananen."
信じる,glauben,"Ich glaube seinen Worten."
信号,Ampel,"Bitte beachten Sie die Ampel."
頼む,bitten / anvertrauen,"Ich habe den Lehrer darum gebeten."
市民,Bürger,"Ich höre die Stimmen der Bürger."
住民,Einwohner / Bewohner,"Die Bewohner haben sich versammelt."
主人,Chef / Ehemann / Besitzer,"Er ist der Besitzer des Ladens."
議員,Abgeordneter / Ratsmitglied,"Ich habe mit einem Abgeordneten gesprochen."
会議,Sitzung / Besprechung,"Das Meeting beginnt am Nachmittag."
パトカー,Streifenwagen,"Ein Polizeiwagen ist vorbeigefahren."
対する,gegenüberstehen / zu etwas gehören,"Die Antwort auf diese Frage."
対立,Konflikt / Opposition,"Die beiden Meinungen stehen im Konflikt."
反対,Gegenteil / Widerstand,"Ich bin gegen diesen Vorschlag."
答え,Antwort,"Seine Antwort war richtig."
ハンバーガー,Hamburger,"Ich habe einen Hamburger bestellt."
特に,insbesondere / besonders,"Ich habe nichts Besonderes."
特急,Schnellzug,"Ich bin mit dem Schnellzug gefahren."
特別,besonders / speziell,"Heute ist ein besonderer Tag."
別々,getrennt,"Wir haben getrennt bezahlt."
エスカレーター,Fahrtreppe,"Ich bin mit der Rolltreppe hinaufgefahren."
別れる,sich trennen / Abschied nehmen,"Ich habe mich am Bahnhof von meinem Freund verabschiedet."
一般,allgemein / normal,"Auch normale Leute können teilnehmen."
目的,Zweck / Ziel,"Was ist das Ziel der Reise?"
普通,normal / gewöhnlich,"Ich möchte zu einem normalen Leben zurückkehren."
タオル,Handtuch,"Bitte leihen Sie mir ein Handtuch."
並ぶ,in einer Reihe stehen,"Die Leute stehen vor dem Geschäft in einer Reihe."
並べる,aufstellen / aufreihen,"Ich habe die Bücher ins Regal gestellt."
平和,Frieden,"Ich wünsche mir Frieden."
高等学校,Oberstufe,"Er ist Lehrer an einer Oberstufe."
パチンコ,Pachinko,"Er mag Pachinko."
病院,Krankenhaus,"Ich habe mich im Krankenhaus untersuchen lassen."
入院,Krankenhausaufenthalt,"Er wurde gestern ins Krankenhaus eingeliefert."
大学院,Masterstudiengang / Hochschule,"Er forscht in einem Masterstudiengang."
医者,Arzt,"Ich wurde vom Arzt untersucht."
みかん,Mandarine,"Im Winter esse ich Mandarinen."
歯医者,Zahnarzt,"Ich bin zum Zahnarzt gegangen."
歯,Zahn,"Mein Zahn tut weh."
歯ブラシ,Zahnbürste,"Ich habe eine neue Zahnbürste gekauft."
ケーキ,Kuchen,"Ich habe einen Kuchen gebacken."
科学,Wissenschaft,"Ich nehme am Wissenschaftsunterricht teil."
教科書,Lehrbuch,"Bitte lesen Sie das Lehrbuch."
理科,Naturwissenschaft,"Er ist gut im Naturwissenschaftsunterricht."
亡くなる,sterben / verschwinden,"Sein Großvater ist gestorben."
コップ,Becher / Glas,"Ich habe Wasser in das Glas gegossen."
疲れる,ermüden / müde werden,"Ich bin den ganzen Tag gelaufen und müde geworden."
禁煙,Nichtrauchen / Rauchverbot,"Dieses Restaurant ist rauchfrei."
酔っ払い,Betrunkener,"Ein Betrunkener schrie auf der Straße."
ナイロン,Nylon,"Dieses Hemd besteht aus Nylon."
酔っ払う,betrunken werden,"Er hat zu viel Bier getrunken und wurde betrunken."
危ない,gefährlich,"Der Weg ist gefährlich, bitte pass auf."
危険,Gefahr,"Es ist besser, nicht in gefährliche Gegenden zu gehen."
存在,Existenz / Anwesenheit,"Seine Anwesenheit ist sehr wichtig."
スーツ,Anzug,"Heute trage ich einen Anzug."
注目,Aufmerksamkeit / Beachtung,"Seine Präsentation hat viel Aufmerksamkeit erregt."
注文,Bestellung,"Ich habe Pizza im Restaurant bestellt."
意味,Bedeutung / Sinn,"Kannst du mir die Bedeutung dieses Wortes erklären?"
意見,Meinung / Ansicht,"Seine Meinung ist sehr hilfreich."
チケット,Ticket / Karte,"Ich habe ein Ticket für den Film gekauft."
注意,Achtung / Warnung,"Der Lehrer hat die Schüler ermahnt."
用意,Vorbereitung,"Bitte bereiten Sie die Unterlagen für das Meeting vor."
確か,sicher / gewiss,"Seine Adresse ist sicher in Osaka."
確認,Bestätigung,"Bitte bestätigen Sie die Reservierung."
チョコレート,Schokolade,"Ich habe Schokolade zum Valentinstag bekommen."
機能,Funktion,"Diese App hat nützliche Funktionen."
ジェット機,Jetflugzeug,"Ich habe am Flughafen ein Jetflugzeug gesehen."
機械,Maschine,"Er bedient die neue Maschine."
材料,Zutaten / Materialien,"Ich habe die Zutaten für das Essen gekauft."
チャンネル,Kanal,"Ich habe den Fernsehsender gewechselt."
具体的,konkret,"Bitte geben Sie ein konkretes Beispiel."
基づく,basieren auf,"Dieses Ergebnis basiert auf den Daten."
基本,Basis / Grundlage,"Lass uns die Grundlagen gründlich lernen."
基準,Standard / Maßstab,"Bitte überprüfen Sie, ob die Standards erfüllt sind."
つまらない,langweilig / uninteressant,"Der Film war langweilig."
備える,vorsorgen / vorbereiten,"Ich habe Wasser für ein Erdbeben vorbereitet."
準備,Vorbereitung,"Ich bereite mich auf die Reise vor."
設計,Planung / Entwurf,"Ich entwerfe ein neues Haus."
施設,Einrichtung / Institution,"Diese Einrichtung ist sehr groß."
マッチ,Streichholz,"Ich habe ein Streichholz entzündet."
設ける,einrichten / gründen,"Die Firma hat Gewinn gemacht."
説明,Erklärung,"Ich habe das neue Projekt erklärt."
小説,Roman / Novelle,"Sie schreibt gerne Romane."
公開,Veröffentlichung,"Der neue Film wurde veröffentlicht."
公園,Park,"Die Kinder spielen im Park."
動物園,Zoo,"Ich habe im Zoo einen Elefanten gesehen."
祭り,Fest / Festival,"Im Sommer findet ein Fest statt."
国際,international,"Eine internationale Konferenz wurde abgehalten."
